## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=./output/QC/WGShg19.sorted.gc_bias_metrics.pdf SUMMARY_OUTPUT=./output/QC/WGShg19.sorted.summary_metrics.txt INPUT=/Users/hieunguyen/src/ecd_wgs_features/output/WGShg19.sorted.bam OUTPUT=./output/QC/WGShg19.sorted.gc_bias_metrics.txt REFERENCE_SEQUENCE=/Users/hieunguyen/data/resources/hg19.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 26 21:55:07 CEST 2024

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133376	45	20	0.038393	0.005723			
All Reads	ALL	1	95527	105	21	0.125079	0.012206			
All Reads	ALL	2	110295	90	18	0.092856	0.009788			
All Reads	ALL	3	140901	158	20	0.127604	0.010152			
All Reads	ALL	4	151462	171	20	0.128474	0.009825			
All Reads	ALL	5	154134	204	20	0.15061	0.010545			
All Reads	ALL	6	175760	269	22	0.174162	0.010619			
All Reads	ALL	7	189498	360	21	0.216182	0.011394			
All Reads	ALL	8	217240	475	21	0.248814	0.011416			
All Reads	ALL	9	245839	640	21	0.296245	0.01171			
All Reads	ALL	10	290947	884	22	0.345748	0.011629			
All Reads	ALL	11	356003	1276	22	0.407867	0.011418			
All Reads	ALL	12	465510	1915	22	0.468125	0.010697			
All Reads	ALL	13	616229	2939	23	0.542724	0.010011			
All Reads	ALL	14	874258	4741	23	0.617095	0.008962			
All Reads	ALL	15	1288459	7688	23	0.678992	0.007744			
All Reads	ALL	16	1927848	12384	23	0.730987	0.006569			
All Reads	ALL	17	2893960	20199	22	0.794253	0.005588			
All Reads	ALL	18	4340991	32788	21	0.859504	0.004747			
All Reads	ALL	19	6407709	50601	21	0.898624	0.003995			
All Reads	ALL	20	9254643	73520	21	0.903998	0.003334			
All Reads	ALL	21	13017691	103937	21	0.908569	0.002818			
All Reads	ALL	22	17776043	142189	22	0.910233	0.002414			
All Reads	ALL	23	23603688	182882	23	0.881684	0.002062			
All Reads	ALL	24	30472278	236352	23	0.882625	0.001816			
All Reads	ALL	25	38221550	297780	24	0.886562	0.001625			
All Reads	ALL	26	46557641	364994	24	0.892106	0.001477			
All Reads	ALL	27	55267403	437387	24	0.900572	0.001362			
All Reads	ALL	28	64056292	511422	24	0.90853	0.00127			
All Reads	ALL	29	72612325	585164	24	0.917041	0.001199			
All Reads	ALL	30	80740056	660568	24	0.931001	0.001145			
All Reads	ALL	31	88250564	728595	24	0.939486	0.001101			
All Reads	ALL	32	94825168	801391	24	0.961707	0.001074			
All Reads	ALL	33	100342274	868798	23	0.985273	0.001057			
All Reads	ALL	34	104655752	929849	23	1.011046	0.001048			
All Reads	ALL	35	107930995	986336	22	1.039921	0.001047			
All Reads	ALL	36	110010177	1036634	22	1.072295	0.001053			
All Reads	ALL	37	110709617	1061054	22	1.090621	0.001059			
All Reads	ALL	38	109725335	1062638	22	1.102047	0.001069			
All Reads	ALL	39	107343103	1048571	22	1.111592	0.001086			
All Reads	ALL	40	103979061	1019403	22	1.115634	0.001105			
All Reads	ALL	41	99934886	964610	22	1.098389	0.001118			
All Reads	ALL	42	95432582	911356	22	1.086709	0.001138			
All Reads	ALL	43	90946151	847153	23	1.059984	0.001152			
All Reads	ALL	44	86905865	793273	23	1.038712	0.001166			
All Reads	ALL	45	83467617	753617	24	1.027435	0.001184			
All Reads	ALL	46	80580514	723864	24	1.02223	0.001201			
All Reads	ALL	47	78139411	700993	24	1.020858	0.001219			
All Reads	ALL	48	75568330	676558	24	1.018795	0.001239			
All Reads	ALL	49	72349157	643238	24	1.011719	0.001261			
All Reads	ALL	50	68224089	603491	24	1.006595	0.001296			
All Reads	ALL	51	63376106	555587	24	0.997581	0.001338			
All Reads	ALL	52	58326345	506868	24	0.988899	0.001389			
All Reads	ALL	53	53613997	459091	24	0.974411	0.001438			
All Reads	ALL	54	49409891	418367	24	0.96353	0.00149			
All Reads	ALL	55	45702526	380256	24	0.946799	0.001535			
All Reads	ALL	56	42123776	347164	24	0.937841	0.001592			
All Reads	ALL	57	38312034	312699	24	0.92878	0.001661			
All Reads	ALL	58	34111368	275549	24	0.919224	0.001751			
All Reads	ALL	59	29551385	239019	24	0.920399	0.001883			
All Reads	ALL	60	24975381	202878	24	0.924367	0.002052			
All Reads	ALL	61	20747534	168857	24	0.926135	0.002254			
All Reads	ALL	62	17134827	138371	24	0.91894	0.00247			
All Reads	ALL	63	14143033	114287	24	0.919551	0.00272			
All Reads	ALL	64	11679363	93351	24	0.909539	0.002977			
All Reads	ALL	65	9627650	75711	24	0.894871	0.003252			
All Reads	ALL	66	7930206	61710	24	0.885509	0.003565			
All Reads	ALL	67	6442446	48593	24	0.858311	0.003894			
All Reads	ALL	68	5154918	38090	23	0.840835	0.004308			
All Reads	ALL	69	4127287	29487	23	0.812995	0.004734			
All Reads	ALL	70	3312493	22082	23	0.758587	0.005105			
All Reads	ALL	71	2652201	16670	23	0.715239	0.00554			
All Reads	ALL	72	2146030	12897	23	0.683872	0.006022			
All Reads	ALL	73	1752722	9820	22	0.637559	0.006434			
All Reads	ALL	74	1446325	7595	22	0.597563	0.006857			
All Reads	ALL	75	1218151	5967	22	0.557412	0.007216			
All Reads	ALL	76	1050945	4771	22	0.516596	0.007479			
All Reads	ALL	77	925208	3975	23	0.488899	0.007754			
All Reads	ALL	78	822183	3410	22	0.471963	0.008082			
All Reads	ALL	79	717135	2814	22	0.446524	0.008417			
All Reads	ALL	80	611550	2229	21	0.414763	0.008785			
All Reads	ALL	81	513146	1800	23	0.399166	0.009408			
All Reads	ALL	82	430339	1517	22	0.401141	0.010299			
All Reads	ALL	83	353654	1121	22	0.360702	0.010773			
All Reads	ALL	84	273671	824	22	0.342626	0.011936			
All Reads	ALL	85	198393	567	22	0.325221	0.013658			
All Reads	ALL	86	131597	383	23	0.331188	0.016923			
All Reads	ALL	87	85144	263	22	0.351498	0.021674			
