## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=./output/QC/WGShg19.sorted.insert_size_histogram.pdf INPUT=/Users/hieunguyen/src/ecd_wgs_features/output/WGShg19.sorted.bam OUTPUT=./output/QC/WGShg19.sorted.insert_size_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 26 21:54:41 CEST 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
167	166	11	83	258	166.81116	21.099618	12730131	FR	5	7	13	17	23	29	39	51	69	91	137			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
83	189
84	208
85	197
86	241
87	223
88	258
89	292
90	322
91	323
92	424
93	6395
94	5207
95	5045
96	5079
97	5461
98	6619
99	7818
100	9086
101	9935
102	10022
103	9587
104	8764
105	8471
106	8485
107	8897
108	9712
109	11041
110	13154
111	14644
112	14653
113	13234
114	11852
115	11566
116	12363
117	13153
118	14045
119	16125
120	19586
121	24694
122	28767
123	27729
124	22585
125	18958
126	18575
127	19834
128	22184
129	24940
130	29840
131	37728
132	49486
133	59971
134	62639
135	56443
136	51863
137	54573
138	63320
139	76515
140	91428
141	103637
142	109606
143	111270
144	113017
145	114337
146	115018
147	116158
148	121563
149	130379
150	140688
151	153076
152	163746
153	166281
154	163708
155	168118
156	177656
157	195415
158	213580
159	231624
160	248859
161	262445
162	281804
163	312732
164	354295
165	390280
166	398254
167	387678
168	368251
169	347980
170	328887
171	307904
172	293091
173	285288
174	279743
175	272760
176	261426
177	243972
178	222927
179	202699
180	184212
181	167802
182	154744
183	143668
184	134792
185	128314
186	122174
187	115742
188	108478
189	99442
190	91435
191	83415
192	76760
193	70453
194	65613
195	61736
196	57794
197	54827
198	52034
199	48382
200	45593
201	42757
202	40012
203	36469
204	33713
205	31450
206	29833
207	27529
208	25992
209	24527
210	23301
211	21745
212	20267
213	18490
214	17305
215	16000
216	14786
217	13834
218	13028
219	12241
220	11543
221	10927
222	10129
223	9347
224	8791
225	8298
226	7748
227	7304
228	6925
229	6703
230	6115
231	5864
232	5615
233	5216
234	5129
235	4941
236	4610
237	4320
238	4173
239	4119
240	4032
241	4050
242	3811
243	3885
244	3586
245	3639
246	3492
247	3438
248	3336
249	3324
250	3166
251	3267
252	3321
253	3261
254	3440
255	3211
256	3282
257	4153
258	3031

