## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=/Users/hieunguyen/src/ecd_wgs_features/output/WGShg19.sorted.bam OUTPUT=./output/QC/WGShg19.sorted.wgs_metrics.txt REFERENCE_SEQUENCE=/Users/hieunguyen/data/resources/hg19.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 26 22:20:15 CEST 2024

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	0.398496	0.899772	0	0	0	0.075411	0	0	0.009335	0.000113	0.003618	0.088477	0.317735	0.000276	0.00006	0.000044	0.000036	0.000031	0.000028	0.000022	0.000018	0.000015	0.000013	0.000011	0.000009	0.000008	?	?	?	0.147503	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	1976733401
1	729934180
2	160769233
3	25665057
4	3409792
5	452518
6	92699
7	38341
8	23821
9	17255
10	13232
11	10203
12	8055
13	7385
14	6528
15	5841
16	5135
17	4407
18	4045
19	3812
20	3357
21	3104
22	2731
23	2692
24	2606
25	2425
26	2302
27	2140
28	1940
29	2086
30	2008
31	1786
32	1854
33	1678
34	1702
35	1516
36	1598
37	1539
38	1368
39	1275
40	1326
41	1257
42	1296
43	1156
44	1228
45	1218
46	1042
47	1034
48	926
49	899
50	936
51	892
52	920
53	901
54	911
55	887
56	784
57	815
58	803
59	806
60	728
61	657
62	645
63	649
64	603
65	605
66	657
67	608
68	601
69	642
70	615
71	580
72	558
73	589
74	549
75	591
76	578
77	611
78	597
79	504
80	561
81	481
82	472
83	476
84	427
85	475
86	432
87	433
88	427
89	442
90	444
91	379
92	405
93	372
94	395
95	357
96	380
97	344
98	336
99	312
100	301
101	287
102	288
103	254
104	269
105	286
106	263
107	244
108	229
109	217
110	213
111	238
112	243
113	235
114	225
115	250
116	242
117	205
118	162
119	157
120	149
121	164
122	163
123	158
124	149
125	148
126	146
127	151
128	145
129	124
130	107
131	116
132	119
133	92
134	96
135	98
136	115
137	114
138	82
139	99
140	93
141	92
142	106
143	114
144	111
145	96
146	106
147	91
148	103
149	89
150	78
151	98
152	92
153	85
154	64
155	73
156	75
157	74
158	96
159	72
160	84
161	72
162	80
163	101
164	87
165	99
166	93
167	96
168	95
169	95
170	99
171	88
172	80
173	66
174	61
175	88
176	74
177	77
178	75
179	65
180	54
181	73
182	72
183	64
184	58
185	73
186	48
187	49
188	60
189	58
190	53
191	58
192	63
193	59
194	60
195	55
196	51
197	48
198	41
199	41
200	51
201	54
202	44
203	51
204	44
205	50
206	43
207	54
208	49
209	49
210	52
211	43
212	38
213	42
214	29
215	39
216	41
217	45
218	42
219	54
220	61
221	30
222	30
223	30
224	34
225	47
226	44
227	40
228	49
229	45
230	46
231	34
232	26
233	31
234	41
235	44
236	30
237	30
238	26
239	30
240	28
241	19
242	40
243	28
244	34
245	36
246	32
247	35
248	37
249	26
250	9320

