## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=./output/WGShg19.sorted.sorted.markdup.bam OUTPUT=./output/QC/WGShg19.sorted/WGShg19.sorted.wgs_metrics.txt REFERENCE_SEQUENCE=/Users/hieunguyen/data/resources/hg19.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 27 11:37:16 CEST 2024

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	0.396994	0.852228	0	0	0	0.075411	0.005685	0	0.009199	0.000113	0.001504	0.091912	0.317729	0.000261	0.000058	0.000042	0.000035	0.00003	0.000026	0.00002	0.000016	0.000013	0.000011	0.000009	0.000007	0.000006	?	?	?	0.146445	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	1976752324
1	732012799
2	159581455
3	24972800
4	3234168
5	422107
6	87615
7	37951
8	24050
9	17250
10	12572
11	10255
12	8384
13	7659
14	6382
15	5595
16	5047
17	4311
18	4068
19	3622
20	3130
21	3219
22	2818
23	2815
24	2502
25	2324
26	2225
27	2061
28	2192
29	2217
30	1873
31	1738
32	1742
33	1766
34	1630
35	1615
36	1537
37	1553
38	1331
39	1395
40	1302
41	1372
42	1250
43	1212
44	1113
45	1073
46	1079
47	1088
48	996
49	926
50	949
51	941
52	926
53	938
54	905
55	852
56	729
57	806
58	716
59	717
60	756
61	742
62	731
63	733
64	669
65	677
66	614
67	616
68	631
69	623
70	643
71	651
72	575
73	623
74	582
75	588
76	597
77	595
78	578
79	516
80	527
81	481
82	444
83	466
84	418
85	440
86	423
87	362
88	397
89	438
90	338
91	338
92	338
93	334
94	368
95	343
96	304
97	286
98	284
99	263
100	252
101	267
102	292
103	238
104	238
105	224
106	224
107	223
108	211
109	218
110	203
111	176
112	160
113	151
114	147
115	149
116	167
117	155
118	161
119	137
120	141
121	145
122	126
123	124
124	126
125	118
126	107
127	98
128	90
129	107
130	99
131	98
132	106
133	110
134	107
135	105
136	99
137	93
138	98
139	79
140	95
141	99
142	100
143	103
144	98
145	88
146	102
147	94
148	114
149	82
150	89
151	91
152	83
153	84
154	93
155	76
156	82
157	78
158	76
159	95
160	69
161	61
162	69
163	71
164	60
165	51
166	55
167	56
168	39
169	47
170	38
171	46
172	46
173	45
174	55
175	71
176	50
177	57
178	41
179	45
180	41
181	29
182	33
183	36
184	47
185	30
186	35
187	47
188	37
189	41
190	31
191	51
192	38
193	36
194	46
195	46
196	35
197	41
198	39
199	36
200	32
201	34
202	41
203	48
204	41
205	25
206	30
207	29
208	56
209	43
210	42
211	39
212	37
213	34
214	40
215	28
216	35
217	28
218	27
219	32
220	33
221	35
222	31
223	23
224	28
225	31
226	38
227	35
228	35
229	32
230	34
231	27
232	22
233	29
234	38
235	30
236	30
237	33
238	33
239	36
240	31
241	36
242	47
243	30
244	29
245	28
246	31
247	44
248	42
249	29
250	6604

