## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/Users/hieunguyen/src/ecd_wgs_features/output/WGShg19.sorted.bam] OUTPUT=./output/WGShg19.sorted.sorted.markdup.bam METRICS_FILE=./output/QC/WGShg19.sorted/WGShg19.sorted.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 27 11:30:50 CEST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
9-ZMC029NB_S95005-S97005	0	12730176	151	0	0	127266	0	0.009997	632437149

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	12521204	12521204
2.0	1.980072	65720	65720
3.0	2.940615	7919	7919
4.0	3.882015	3210	3210
5.0	4.804656	1629	1629
6.0	5.708911	926	926
7.0	6.595147	591	591
8.0	7.463722	381	381
9.0	8.314988	246	246
10.0	9.149291	190	190
11.0	9.966968	146	146
12.0	10.768351	126	126
13.0	11.553765	78	78
14.0	12.323527	79	79
15.0	13.077949	59	59
16.0	13.817338	46	46
17.0	14.541993	41	41
18.0	15.252207	35	35
19.0	15.948268	27	27
20.0	16.630458	27	27
21.0	17.299054	21	21
22.0	17.954327	16	16
23.0	18.596542	12	12
24.0	19.225958	10	10
25.0	19.842833	9	9
26.0	20.447414	11	11
27.0	21.039947	6	6
28.0	21.620673	8	8
29.0	22.189827	3	3
30.0	22.747638	10	10
31.0	23.294334	6	6
32.0	23.830136	7	7
33.0	24.35526	3	3
34.0	24.86992	3	3
35.0	25.374324	2	2
36.0	25.868676	8	8
37.0	26.353177	3	3
38.0	26.828023	4	4
39.0	27.293407	4	4
40.0	27.749517	3	3
41.0	28.196538	3	3
42.0	28.63465	1	1
43.0	29.064033	0	0
44.0	29.484858	3	3
45.0	29.897298	1	1
46.0	30.301519	4	4
47.0	30.697684	2	2
48.0	31.085955	2	2
49.0	31.466489	1	1
50.0	31.839439	1	1
51.0	32.204958	0	0
52.0	32.563193	1	1
53.0	32.914289	0	0
54.0	33.258388	1	1
55.0	33.595631	2	2
56.0	33.926153	0	0
57.0	34.250088	0	0
58.0	34.567569	1	1
59.0	34.878723	0	0
60.0	35.183676	0	0
61.0	35.482552	0	0
62.0	35.775472	1	1
63.0	36.062556	0	0
64.0	36.343918	0	0
65.0	36.619674	0	0
66.0	36.889934	1	1
67.0	37.154809	1	1
68.0	37.414405	0	0
69.0	37.668828	0	0
70.0	37.918182	0	0
71.0	38.162566	0	0
72.0	38.40208	0	0
73.0	38.636822	0	0
74.0	38.866885	0	0
75.0	39.092364	0	0
76.0	39.31335	0	0
77.0	39.529932	0	0
78.0	39.742198	0	0
79.0	39.950234	0	0
80.0	40.154125	0	0
81.0	40.353952	0	0
82.0	40.549798	0	0
83.0	40.741741	0	0
84.0	40.929858	0	0
85.0	41.114227	0	0
86.0	41.294922	2	2
87.0	41.472017	0	0
88.0	41.645582	0	0
89.0	41.815688	0	0
90.0	41.982405	1	1
91.0	42.145799	0	0
92.0	42.305938	1	1
93.0	42.462885	0	0
94.0	42.616704	0	0
95.0	42.767459	0	0
96.0	42.915209	1	1
97.0	43.060015	0	0
98.0	43.201935	0	0
99.0	43.341027	0	0
100.0	43.477348	0	0
114.0	0	2	2
118.0	0	1	1
174.0	0	1	1
296.0	0	1	1

