## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=./output/QC/WGShg19.sorted/WGShg19.sorted.insert_size_histogram.pdf INPUT=./output/WGShg19.sorted.sorted.markdup.bam OUTPUT=./output/QC/WGShg19.sorted/WGShg19.sorted.insert_size_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 27 11:35:27 CEST 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
167	166	11	83	258	166.840003	21.12529	12602865	FR	5	7	13	17	23	29	39	51	69	91	137			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
83	184
84	183
85	191
86	232
87	221
88	252
89	280
90	321
91	315
92	420
93	6372
94	5190
95	4992
96	5058
97	5432
98	6590
99	7760
100	9042
101	9892
102	9999
103	9555
104	8723
105	8446
106	8455
107	8838
108	9664
109	10983
110	13068
111	14543
112	14565
113	13149
114	11755
115	11503
116	12296
117	13073
118	13941
119	16008
120	19362
121	24418
122	28490
123	27455
124	22404
125	18778
126	18441
127	19677
128	21979
129	24674
130	29481
131	37341
132	48917
133	59129
134	61514
135	55980
136	51309
137	54097
138	62674
139	75810
140	90424
141	102517
142	108370
143	109946
144	111846
145	113081
146	113706
147	115000
148	120148
149	129002
150	139049
151	151093
152	161770
153	163859
154	161674
155	165983
156	175797
157	192870
158	211050
159	228720
160	245333
161	258871
162	277885
163	309027
164	349948
165	385915
166	394167
167	383354
168	364402
169	344382
170	325201
171	304399
172	289933
173	282027
174	277156
175	270452
176	259313
177	242254
178	221140
179	201150
180	182744
181	166475
182	153425
183	142483
184	133813
185	127350
186	121399
187	115011
188	107829
189	98905
190	90907
191	82947
192	76216
193	70020
194	65209
195	61296
196	57407
197	54487
198	51745
199	48126
200	45324
201	42560
202	39795
203	36262
204	33532
205	31252
206	29661
207	27337
208	25825
209	24397
210	23181
211	21611
212	20150
213	18393
214	17227
215	15899
216	14709
217	13757
218	12953
219	12172
220	11478
221	10844
222	10078
223	9288
224	8743
225	8244
226	7700
227	7263
228	6900
229	6662
230	6084
231	5836
232	5597
233	5182
234	5097
235	4910
236	4574
237	4302
238	4150
239	4092
240	4005
241	4034
242	3782
243	3846
244	3565
245	3619
246	3480
247	3427
248	3321
249	3310
250	3156
251	3257
252	3309
253	3244
254	3424
255	3205
256	3271
257	4137
258	3023

