SampleID,Run,RUN_metadata train
ZK0AAAB70NB,R5219,1
ZK0AAAA95NB,R5083,1
ZK0AAAB19NB,R5097,1
ZK0AAAA42NB,R5063,1
K0AAAA04NB,R5044,1
ZK0CAAA61NB,R5170,1
ZK0CAAA60NB,R5170,1
ZK0AAAF50NB,R5170,1
ZK0CAAA38NB,R5151,1
ZK0AAAD33NB,R5253,1
ZK0AAAA37NB,R5063,1
ZK0DAAA09NB,R5184,1
ZK0CAAA03NB,R5169,1
ZK0AAAF38NB,R5170,1
ZK0AAAB41NB,R5119,1
ZK0DAAA43NB,R5219,1
ZK0DAAA11NB,R5184,1
ZK0CAAA19NB,R5169,1
ZK0AAAA49NB,R5063,1
ZK0DAAA21NB,R5184,1
ZK0AAAA36NB,R5063,1
ZK0AAAA82NB,R5083,1
ZK0AAAA12NB,R5063,1
ZK0AAAA72NB,R5083,1
ZK0AAAB07NB,R5119,1
ZK0AAAC52NB,R5219,1
ZK0AAAB10NB,R5119,1
ZK0AAAB62NB,R5219,1
ZK0CAAA20NB,R5169,1
ZK0CAAA25NB,R5151,1
ZK0CAAA23NB,R5167,1
ZK0DAAA44NB,R5201,1
ZK0CAAA68NB,R5184,1
ZK0AAAF37NB,R5170,1
ZK0AAAA76NB,R5083,1
ZK0AAAF47NB,R5170,1
ZK0DAAA28NB,R5201,1
ZK0CAAA24NB,R5151,1
ZK0AAAB23NB,R5097,1
ZK0AAAB13NB,R5119,1
ZK0AAAB20NB,R5097,1
ZK0CAAA45NB,R5151,1
ZK0AAAA58NB,R5063,1
ZK0DAAA01NB,R5184,1
ZK0AAAB47NB,R5097,1
ZK0AAAD49NB,R5253,1
ZK0CAAA43NB,R5167,1
ZK0DAAA34NB,R5201,1
ZK0AAAB52NB,R5119,1
ZK0DAAA23NB,R5184,1
ZK0AAAB50NB,R5097,1
ZK0CAAA78NB,R5168,1
ZK0CAAA46NB,R5168,1
ZK0AAAA66NB,R5083,1
ZK0AAAA41NB,R5063,1
ZK0DAAA03NB,R5184,1
ZK0CAAA58NB,R5170,1
ZK0AAAA29NB,R5063,1
ZK0CAAA70NB,R5184,1
ZK0CAAA41NB,R5167,1
ZK0DAAA31NB,R5201,1
ZK0AAAB12NB,R5119,1
ZK0AAAF14NB,R5170,1
ZK0AAAA55NB,R5063,1
ZK0CAAA16NB,R5169,1
ZK0CAAA55NB,R5170,1
ZK0AAAB46NB,R5097,1
ZK0AAAA73NB,R5083,1
ZK0CAAA47NB,R5168,1
ZK0DAAA15NB,R5184,1
ZK0DAAA20NB,R5184,1
ZK0AAAA70NB,R5083,1
ZK0DAAA25NB,R5201,1
ZK0AAAF07NB,R5169,1
ZK0CAAA40NB,R5167,1
ZK0AAAA51NB,R5063,1
ZK0AAAA16NB,R5063,1
ZK0CAAA56NB,R5170,1
ZK0AAAF46NB,R5170,1
ZK0DAAA45NB,R5201,1
ZK0AAAA97NB,R5083,1
ZK0AAAF41NB,R5170,1
ZK0AAAB54NB,R5119,1
ZK0CAAA39NB,R5151,1
ZK0DAAA10NB,R5184,1
ZK0AAAA71NB,R5083,1
ZK0AAAB55NB,R5119,1
ZK0AAAA94NB,R5083,1
ZK0CAAA66NB,R5184,1
