chromosome	start	end	K-specific NDR	center
chr1	1003160	1005160	LUAD-specific NDR	1004160
chr1	1008318	1010318	LUAD-specific NDR	1009318
chr1	1097212	1099212	LUAD-specific NDR	1098212
chr1	1355746	1357746	LUAD-specific NDR	1356746
chr1	1435343	1437343	LUAD-specific NDR	1436343
chr1	1689329	1691329	LUAD-specific NDR	1690329
chr1	1991970	1993970	LUAD-specific NDR	1992970
chr1	2035594	2037594	LUAD-specific NDR	2036594
chr1	2058790	2060790	LUAD-specific NDR	2059790
chr1	2206459	2208459	LUAD-specific NDR	2207459
chr1	2465516	2467516	LUAD-specific NDR	2466516
chr1	2990620	2992620	LUAD-specific NDR	2991620
chr1	3038161	3040161	LUAD-specific NDR	3039161
chr1	3043645	3045645	LUAD-specific NDR	3044645
chr1	3104024	3106024	LUAD-specific NDR	3105024
chr1	3253000	3255000	LUAD-specific NDR	3254000
chr1	3529164	3531164	LUAD-specific NDR	3530164
chr1	3692294	3694294	LUAD-specific NDR	3693294
chr1	3780621	3782621	LUAD-specific NDR	3781621
chr1	3837969	3839969	LUAD-specific NDR	3838969
chr1	5372095	5374095	LUAD-specific NDR	5373095
chr1	6045247	6047247	LUAD-specific NDR	6046247
chr1	6279493	6281493	LUAD-specific NDR	6280493
chr1	6531258	6533258	LUAD-specific NDR	6532258
chr1	6542286	6544286	LUAD-specific NDR	6543286
chr1	6918553	6920553	LUAD-specific NDR	6919553
chr1	7550341	7552341	LUAD-specific NDR	7551341
chr1	7609742	7611742	LUAD-specific NDR	7610742
chr1	7708287	7710287	LUAD-specific NDR	7709287
chr1	7710098	7712098	LUAD-specific NDR	7711098
chr1	7944749	7946749	LUAD-specific NDR	7945749
chr1	8120504	8122504	LUAD-specific NDR	8121504
chr1	8129563	8131563	LUAD-specific NDR	8130563
chr1	8134724	8136724	LUAD-specific NDR	8135724
chr1	8136476	8138476	LUAD-specific NDR	8137476
chr1	8149619	8151619	LUAD-specific NDR	8150619
chr1	8151946	8153946	LUAD-specific NDR	8152946
chr1	8155356	8157356	LUAD-specific NDR	8156356
chr1	8156636	8158636	LUAD-specific NDR	8157636
chr1	8180552	8182552	LUAD-specific NDR	8181552
chr1	8201144	8203144	LUAD-specific NDR	8202144
chr1	8243568	8245568	LUAD-specific NDR	8244568
chr1	8271126	8273126	LUAD-specific NDR	8272126
chr1	8310907	8312907	LUAD-specific NDR	8311907
chr1	8316855	8318855	LUAD-specific NDR	8317855
chr1	8597720	8599720	LUAD-specific NDR	8598720
chr1	8724579	8726579	LUAD-specific NDR	8725579
chr1	8859666	8861666	LUAD-specific NDR	8860666
chr1	9022321	9024321	LUAD-specific NDR	9023321
chr1	9025876	9027876	LUAD-specific NDR	9026876
chr1	9140222	9142222	LUAD-specific NDR	9141222
chr1	9210526	9212526	LUAD-specific NDR	9211526
chr1	9224255	9226255	LUAD-specific NDR	9225255
chr1	9253270	9255270	LUAD-specific NDR	9254270
chr1	9362375	9364375	LUAD-specific NDR	9363375
chr1	9470011	9472011	LUAD-specific NDR	9471011
chr1	9478099	9480099	LUAD-specific NDR	9479099
chr1	9531145	9533145	LUAD-specific NDR	9532145
chr1	9730552	9732552	LUAD-specific NDR	9731552
chr1	10322970	10324970	LUAD-specific NDR	10323970
chr1	10518347	10520347	LUAD-specific NDR	10519347
chr1	10711004	10713004	LUAD-specific NDR	10712004
chr1	10790257	10792257	LUAD-specific NDR	10791257
chr1	10805132	10807132	LUAD-specific NDR	10806132
chr1	10838458	10840458	LUAD-specific NDR	10839458
chr1	11364356	11366356	LUAD-specific NDR	11365356
chr1	11935722	11937722	LUAD-specific NDR	11936722
chr1	12049980	12051980	LUAD-specific NDR	12050980
chr1	12073939	12075939	LUAD-specific NDR	12074939
chr1	12196157	12198157	LUAD-specific NDR	12197157
chr1	12310690	12312690	LUAD-specific NDR	12311690
chr1	12360012	12362012	LUAD-specific NDR	12361012
chr1	12534821	12536821	LUAD-specific NDR	12535821
chr1	13925310	13927310	LUAD-specific NDR	13926310
chr1	13926777	13928777	LUAD-specific NDR	13927777
chr1	14156296	14158296	LUAD-specific NDR	14157296
chr1	14190459	14192459	LUAD-specific NDR	14191459
chr1	14468079	14470079	LUAD-specific NDR	14469079
chr1	14593690	14595690	LUAD-specific NDR	14594690
chr1	15486090	15488090	LUAD-specific NDR	15487090
chr1	15749827	15751827	LUAD-specific NDR	15750827
chr1	16281810	16283810	LUAD-specific NDR	16282810
chr1	16446707	16448707	LUAD-specific NDR	16447707
chr1	16448605	16450605	LUAD-specific NDR	16449605
chr1	16508818	16510818	LUAD-specific NDR	16509818
chr1	16597259	16599259	LUAD-specific NDR	16598259
chr1	16851454	16853454	LUAD-specific NDR	16852454
chr1	17488634	17490634	LUAD-specific NDR	17489634
chr1	17691495	17693495	LUAD-specific NDR	17692495
chr1	17845737	17847737	LUAD-specific NDR	17846737
chr1	17879660	17881660	LUAD-specific NDR	17880660
chr1	17993310	17995310	LUAD-specific NDR	17994310
chr1	18664848	18666848	LUAD-specific NDR	18665848
chr1	18864824	18866824	LUAD-specific NDR	18865824
chr1	18958412	18960412	LUAD-specific NDR	18959412
chr1	18994433	18996433	LUAD-specific NDR	18995433
chr1	19258541	19260541	LUAD-specific NDR	19259541
chr1	19395909	19397909	LUAD-specific NDR	19396909
chr1	19738352	19740352	LUAD-specific NDR	19739352
chr1	19830605	19832605	LUAD-specific NDR	19831605
chr1	19851445	19853445	LUAD-specific NDR	19852445
chr1	20112616	20114616	LUAD-specific NDR	20113616
chr1	20126701	20128701	LUAD-specific NDR	20127701
chr1	20140838	20142838	LUAD-specific NDR	20141838
chr1	20209949	20211949	LUAD-specific NDR	20210949
chr1	20213845	20215845	LUAD-specific NDR	20214845
chr1	20250969	20252969	LUAD-specific NDR	20251969
chr1	20389501	20391501	LUAD-specific NDR	20390501
chr1	20452204	20454204	LUAD-specific NDR	20453204
chr1	20462700	20464700	LUAD-specific NDR	20463700
chr1	20484381	20486381	LUAD-specific NDR	20485381
chr1	20497770	20499770	LUAD-specific NDR	20498770
chr1	21333564	21335564	LUAD-specific NDR	21334564
chr1	21342049	21344049	LUAD-specific NDR	21343049
chr1	21665855	21667855	LUAD-specific NDR	21666855
chr1	21842980	21844980	LUAD-specific NDR	21843980
chr1	21905511	21907511	LUAD-specific NDR	21906511
chr1	22082108	22084108	LUAD-specific NDR	22083108
chr1	22354930	22356930	LUAD-specific NDR	22355930
chr1	22541886	22543886	LUAD-specific NDR	22542886
chr1	22738287	22740287	LUAD-specific NDR	22739287
chr1	22739885	22741885	LUAD-specific NDR	22740885
chr1	22834032	22836032	LUAD-specific NDR	22835032
chr1	23665725	23667725	LUAD-specific NDR	23666725
chr1	24030766	24032766	LUAD-specific NDR	24031766
chr1	24222689	24224689	LUAD-specific NDR	24223689
chr1	24230394	24232394	LUAD-specific NDR	24231394
chr1	24517597	24519597	LUAD-specific NDR	24518597
chr1	25219178	25221178	LUAD-specific NDR	25220178
chr1	25913541	25915541	LUAD-specific NDR	25914541
chr1	26213272	26215272	LUAD-specific NDR	26214272
chr1	26223970	26225970	LUAD-specific NDR	26224970
chr1	26336551	26338551	LUAD-specific NDR	26337551
chr1	26466523	26468523	LUAD-specific NDR	26467523
chr1	26502925	26504925	LUAD-specific NDR	26503925
chr1	26520488	26522488	LUAD-specific NDR	26521488
chr1	27157422	27159422	LUAD-specific NDR	27158422
chr1	27188609	27190609	LUAD-specific NDR	27189609
chr1	27193511	27195511	LUAD-specific NDR	27194511
chr1	27233267	27235267	LUAD-specific NDR	27234267
chr1	27239743	27241743	LUAD-specific NDR	27240743
chr1	27316212	27318212	LUAD-specific NDR	27317212
chr1	27333721	27335721	LUAD-specific NDR	27334721
chr1	27450833	27452833	LUAD-specific NDR	27451833
chr1	27693742	27695742	LUAD-specific NDR	27694742
chr1	28260499	28262499	LUAD-specific NDR	28261499
chr1	28430757	28432757	LUAD-specific NDR	28431757
chr1	28454882	28456882	LUAD-specific NDR	28455882
chr1	28691541	28693541	LUAD-specific NDR	28692541
chr1	28826681	28828681	LUAD-specific NDR	28827681
chr1	28852571	28854571	LUAD-specific NDR	28853571
chr1	28867313	28869313	LUAD-specific NDR	28868313
chr1	28890738	28892738	LUAD-specific NDR	28891738
chr1	29172939	29174939	LUAD-specific NDR	29173939
chr1	29174115	29176115	LUAD-specific NDR	29175115
chr1	29177793	29179793	LUAD-specific NDR	29178793
chr1	29564845	29566845	LUAD-specific NDR	29565845
chr1	30042044	30044044	LUAD-specific NDR	30043044
chr1	31331923	31333923	LUAD-specific NDR	31332923
chr1	31855278	31857278	LUAD-specific NDR	31856278
chr1	31856557	31858557	LUAD-specific NDR	31857557
chr1	31898259	31900259	LUAD-specific NDR	31899259
chr1	31939368	31941368	LUAD-specific NDR	31940368
chr1	31985518	31987518	LUAD-specific NDR	31986518
chr1	32343185	32345185	LUAD-specific NDR	32344185
chr1	33015657	33017657	LUAD-specific NDR	33016657
chr1	33141751	33143751	LUAD-specific NDR	33142751
chr1	33221781	33223781	LUAD-specific NDR	33222781
chr1	33271101	33273101	LUAD-specific NDR	33272101
chr1	33455714	33457714	LUAD-specific NDR	33456714
chr1	33473423	33475423	LUAD-specific NDR	33474423
chr1	33491896	33493896	LUAD-specific NDR	33492896
chr1	33653697	33655697	LUAD-specific NDR	33654697
chr1	33844711	33846711	LUAD-specific NDR	33845711
chr1	34279812	34281812	LUAD-specific NDR	34280812
chr1	34282894	34284894	LUAD-specific NDR	34283894
chr1	34329247	34331247	LUAD-specific NDR	34330247
chr1	34810953	34812953	LUAD-specific NDR	34811953
chr1	34821626	34823626	LUAD-specific NDR	34822626
chr1	34827767	34829767	LUAD-specific NDR	34828767
chr1	35151455	35153455	LUAD-specific NDR	35152455
chr1	36609469	36611469	LUAD-specific NDR	36610469
chr1	36922330	36924330	LUAD-specific NDR	36923330
chr1	36951714	36953714	LUAD-specific NDR	36952714
chr1	36954282	36956282	LUAD-specific NDR	36955282
chr1	38220224	38222224	LUAD-specific NDR	38221224
chr1	38327237	38329237	LUAD-specific NDR	38328237
chr1	38395458	38397458	LUAD-specific NDR	38396458
chr1	39451488	39453488	LUAD-specific NDR	39452488
chr1	39575375	39577375	LUAD-specific NDR	39576375
chr1	39593823	39595823	LUAD-specific NDR	39594823
chr1	39607534	39609534	LUAD-specific NDR	39608534
chr1	39632693	39634693	LUAD-specific NDR	39633693
chr1	39899869	39901869	LUAD-specific NDR	39900869
chr1	39999651	40001651	LUAD-specific NDR	40000651
chr1	40138108	40140108	LUAD-specific NDR	40139108
chr1	40141893	40143893	LUAD-specific NDR	40142893
chr1	40405868	40407868	LUAD-specific NDR	40406868
chr1	40433934	40435934	LUAD-specific NDR	40434934
chr1	40455273	40457273	LUAD-specific NDR	40456273
chr1	40572475	40574475	LUAD-specific NDR	40573475
chr1	40622366	40624366	LUAD-specific NDR	40623366
chr1	40900734	40902734	LUAD-specific NDR	40901734
chr1	40904125	40906125	LUAD-specific NDR	40905125
chr1	41127684	41129684	LUAD-specific NDR	41128684
chr1	41168177	41170177	LUAD-specific NDR	41169177
chr1	41333136	41335136	LUAD-specific NDR	41334136
chr1	41484969	41486969	LUAD-specific NDR	41485969
chr1	41618751	41620751	LUAD-specific NDR	41619751
chr1	41639044	41641044	LUAD-specific NDR	41640044
chr1	41969053	41971053	LUAD-specific NDR	41970053
chr1	42600268	42602268	LUAD-specific NDR	42601268
chr1	42608112	42610112	LUAD-specific NDR	42609112
chr1	42636146	42638146	LUAD-specific NDR	42637146
chr1	43356298	43358298	LUAD-specific NDR	43357298
chr1	43396724	43398724	LUAD-specific NDR	43397724
chr1	43398888	43400888	LUAD-specific NDR	43399888
chr1	43404059	43406059	LUAD-specific NDR	43405059
chr1	43406495	43408495	LUAD-specific NDR	43407495
chr1	43477391	43479391	LUAD-specific NDR	43478391
chr1	43735293	43737293	LUAD-specific NDR	43736293
chr1	43747265	43749265	LUAD-specific NDR	43748265
chr1	43841611	43843611	LUAD-specific NDR	43842611
chr1	44490642	44492642	LUAD-specific NDR	44491642
chr1	44551626	44553626	LUAD-specific NDR	44552626
chr1	44748331	44750331	LUAD-specific NDR	44749331
chr1	44907703	44909703	LUAD-specific NDR	44908703
chr1	44980297	44982297	LUAD-specific NDR	44981297
chr1	45168042	45170042	LUAD-specific NDR	45169042
chr1	45178087	45180087	LUAD-specific NDR	45179087
chr1	45183613	45185613	LUAD-specific NDR	45184613
chr1	45186860	45188860	LUAD-specific NDR	45187860
chr1	45258400	45260400	LUAD-specific NDR	45259400
chr1	45280261	45282261	LUAD-specific NDR	45281261
chr1	45511941	45513941	LUAD-specific NDR	45512941
chr1	45978427	45980427	LUAD-specific NDR	45979427
chr1	46308859	46310859	LUAD-specific NDR	46309859
chr1	46518637	46520637	LUAD-specific NDR	46519637
chr1	46567931	46569931	LUAD-specific NDR	46568931
chr1	46636695	46638695	LUAD-specific NDR	46637695
chr1	46785227	46787227	LUAD-specific NDR	46786227
chr1	46981792	46983792	LUAD-specific NDR	46982792
chr1	47232552	47234552	LUAD-specific NDR	47233552
chr1	47266201	47268201	LUAD-specific NDR	47267201
chr1	47368417	47370417	LUAD-specific NDR	47369417
chr1	47594740	47596740	LUAD-specific NDR	47595740
chr1	48020268	48022268	LUAD-specific NDR	48021268
chr1	48115021	48117021	LUAD-specific NDR	48116021
chr1	48161846	48163846	LUAD-specific NDR	48162846
chr1	48197398	48199398	LUAD-specific NDR	48198398
chr1	48245999	48247999	LUAD-specific NDR	48246999
chr1	48274477	48276477	LUAD-specific NDR	48275477
chr1	48341140	48343140	LUAD-specific NDR	48342140
chr1	48370807	48372807	LUAD-specific NDR	48371807
chr1	48406745	48408745	LUAD-specific NDR	48407745
chr1	48749894	48751894	LUAD-specific NDR	48750894
chr1	49406207	49408207	LUAD-specific NDR	49407207
chr1	51085883	51087883	LUAD-specific NDR	51086883
chr1	51124177	51126177	LUAD-specific NDR	51125177
chr1	51528052	51530052	LUAD-specific NDR	51529052
chr1	51630895	51632895	LUAD-specific NDR	51631895
chr1	51635196	51637196	LUAD-specific NDR	51636196
chr1	51786165	51788165	LUAD-specific NDR	51787165
chr1	52034607	52036607	LUAD-specific NDR	52035607
chr1	52065436	52067436	LUAD-specific NDR	52066436
chr1	52129743	52131743	LUAD-specific NDR	52130743
chr1	52502374	52504374	LUAD-specific NDR	52503374
chr1	53572458	53574458	LUAD-specific NDR	53573458
