chromosome	start	end	K-specific NDR	center
chr1	941113	943113	COAD-specific NDR	942113
chr1	1044270	1046270	COAD-specific NDR	1045270
chr1	1057742	1059742	COAD-specific NDR	1058742
chr1	1059798	1061798	COAD-specific NDR	1060798
chr1	1061547	1063547	COAD-specific NDR	1062547
chr1	1071070	1073070	COAD-specific NDR	1072070
chr1	1078916	1080916	COAD-specific NDR	1079916
chr1	1084690	1086690	COAD-specific NDR	1085690
chr1	1093947	1095947	COAD-specific NDR	1094947
chr1	1097212	1099212	COAD-specific NDR	1098212
chr1	1101857	1103857	COAD-specific NDR	1102857
chr1	1561850	1563850	COAD-specific NDR	1562850
chr1	1582746	1584746	COAD-specific NDR	1583746
chr1	1609371	1611371	COAD-specific NDR	1610371
chr1	1812427	1814427	COAD-specific NDR	1813427
chr1	2002738	2004738	COAD-specific NDR	2003738
chr1	2068076	2070076	COAD-specific NDR	2069076
chr1	2506432	2508432	COAD-specific NDR	2507432
chr1	3235691	3237691	COAD-specific NDR	3236691
chr1	3372459	3374459	COAD-specific NDR	3373459
chr1	3375796	3377796	COAD-specific NDR	3376796
chr1	4002089	4004089	COAD-specific NDR	4003089
chr1	4014419	4016419	COAD-specific NDR	4015419
chr1	5506732	5508732	COAD-specific NDR	5507732
chr1	5610874	5612874	COAD-specific NDR	5611874
chr1	5691497	5693497	COAD-specific NDR	5692497
chr1	5747718	5749718	COAD-specific NDR	5748718
chr1	6330794	6332794	COAD-specific NDR	6331794
chr1	6341051	6343051	COAD-specific NDR	6342051
chr1	6359542	6361542	COAD-specific NDR	6360542
chr1	6404301	6406301	COAD-specific NDR	6405301
chr1	6510317	6512317	COAD-specific NDR	6511317
chr1	6533408	6535408	COAD-specific NDR	6534408
chr1	6535723	6537723	COAD-specific NDR	6536723
chr1	6641618	6643618	COAD-specific NDR	6642618
chr1	6765830	6767830	COAD-specific NDR	6766830
chr1	6866994	6868994	COAD-specific NDR	6867994
chr1	6881780	6883780	COAD-specific NDR	6882780
chr1	7015775	7017775	COAD-specific NDR	7016775
chr1	7337356	7339356	COAD-specific NDR	7338356
chr1	7360158	7362158	COAD-specific NDR	7361158
chr1	7399249	7401249	COAD-specific NDR	7400249
chr1	7426468	7428468	COAD-specific NDR	7427468
chr1	7569684	7571684	COAD-specific NDR	7570684
chr1	8307039	8309039	COAD-specific NDR	8308039
chr1	8344351	8346351	COAD-specific NDR	8345351
chr1	8352397	8354397	COAD-specific NDR	8353397
chr1	9108362	9110362	COAD-specific NDR	9109362
chr1	9338408	9340408	COAD-specific NDR	9339408
chr1	9390303	9392303	COAD-specific NDR	9391303
chr1	9829563	9831563	COAD-specific NDR	9830563
chr1	9863538	9865538	COAD-specific NDR	9864538
chr1	9874399	9876399	COAD-specific NDR	9875399
chr1	9893819	9895819	COAD-specific NDR	9894819
chr1	9902713	9904713	COAD-specific NDR	9903713
chr1	10164749	10166749	COAD-specific NDR	10165749
chr1	10818725	10820725	COAD-specific NDR	10819725
chr1	10838458	10840458	COAD-specific NDR	10839458
chr1	10863228	10865228	COAD-specific NDR	10864228
chr1	10994491	10996491	COAD-specific NDR	10995491
chr1	10996636	10998636	COAD-specific NDR	10997636
chr1	11003222	11005222	COAD-specific NDR	11004222
chr1	12158914	12160914	COAD-specific NDR	12159914
chr1	12207570	12209570	COAD-specific NDR	12208570
chr1	12405997	12407997	COAD-specific NDR	12406997
chr1	12440480	12442480	COAD-specific NDR	12441480
chr1	12532140	12534140	COAD-specific NDR	12533140
chr1	12588600	12590600	COAD-specific NDR	12589600
chr1	14185700	14187700	COAD-specific NDR	14186700
chr1	14214326	14216326	COAD-specific NDR	14215326
chr1	15499595	15501595	COAD-specific NDR	15500595
chr1	15510147	15512147	COAD-specific NDR	15511147
chr1	15527757	15529757	COAD-specific NDR	15528757
chr1	15633817	15635817	COAD-specific NDR	15634817
chr1	15676210	15678210	COAD-specific NDR	15677210
chr1	15749827	15751827	COAD-specific NDR	15750827
chr1	16090115	16092115	COAD-specific NDR	16091115
chr1	16106248	16108248	COAD-specific NDR	16107248
chr1	16120798	16122798	COAD-specific NDR	16121798
chr1	16469487	16471487	COAD-specific NDR	16470487
chr1	16484677	16486677	COAD-specific NDR	16485677
chr1	16488037	16490037	COAD-specific NDR	16489037
chr1	16926536	16928536	COAD-specific NDR	16927536
chr1	16929982	16931982	COAD-specific NDR	16930982
chr1	17335368	17337368	COAD-specific NDR	17336368
chr1	17434136	17436136	COAD-specific NDR	17435136
chr1	17435612	17437612	COAD-specific NDR	17436612
chr1	17555114	17557114	COAD-specific NDR	17556114
chr1	17576271	17578271	COAD-specific NDR	17577271
chr1	17598318	17600318	COAD-specific NDR	17599318
chr1	17647700	17649700	COAD-specific NDR	17648700
chr1	17838854	17840854	COAD-specific NDR	17839854
chr1	17842559	17844559	COAD-specific NDR	17843559
chr1	17845737	17847737	COAD-specific NDR	17846737
chr1	17855618	17857618	COAD-specific NDR	17856618
chr1	17913838	17915838	COAD-specific NDR	17914838
chr1	17922776	17924776	COAD-specific NDR	17923776
chr1	18566645	18568645	COAD-specific NDR	18567645
chr1	18739626	18741626	COAD-specific NDR	18740626
chr1	18861229	18863229	COAD-specific NDR	18862229
chr1	19446901	19448901	COAD-specific NDR	19447901
chr1	19448388	19450388	COAD-specific NDR	19449388
chr1	19794100	19796100	COAD-specific NDR	19795100
chr1	19851445	19853445	COAD-specific NDR	19852445
chr1	19917388	19919388	COAD-specific NDR	19918388
chr1	19938824	19940824	COAD-specific NDR	19939824
chr1	19945448	19947448	COAD-specific NDR	19946448
chr1	19972085	19974085	COAD-specific NDR	19973085
chr1	20139042	20141042	COAD-specific NDR	20140042
chr1	20140838	20142838	COAD-specific NDR	20141838
chr1	20186651	20188651	COAD-specific NDR	20187651
chr1	20197903	20199903	COAD-specific NDR	20198903
chr1	20246951	20248951	COAD-specific NDR	20247951
chr1	20508638	20510638	COAD-specific NDR	20509638
chr1	20558235	20560235	COAD-specific NDR	20559235
chr1	20576342	20578342	COAD-specific NDR	20577342
chr1	20581452	20583452	COAD-specific NDR	20582452
chr1	20795943	20797943	COAD-specific NDR	20796943
chr1	21201237	21203237	COAD-specific NDR	21202237
chr1	21353590	21355590	COAD-specific NDR	21354590
chr1	21440779	21442779	COAD-specific NDR	21441779
chr1	21624676	21626676	COAD-specific NDR	21625676
chr1	21940377	21942377	COAD-specific NDR	21941377
chr1	21957765	21959765	COAD-specific NDR	21958765
chr1	22334488	22336488	COAD-specific NDR	22335488
chr1	22585652	22587652	COAD-specific NDR	22586652
chr1	22588210	22590210	COAD-specific NDR	22589210
chr1	23006440	23008440	COAD-specific NDR	23007440
chr1	23015141	23017141	COAD-specific NDR	23016141
chr1	23023727	23025727	COAD-specific NDR	23024727
